audio_filepath,text,label,category,speaker,take
training_data/audio_vad\sample_0001.wav,hey deepgi,1,positive,tatthon,1
training_data/audio_vad\sample_0002.wav,hey deep gi,1,positive,tatthon,1
training_data/audio_vad\sample_0003.wav,hey dgi,1,positive,tatthon,1
training_data/audio_vad\sample_0004.wav,hey d gi,1,positive,tatthon,1
training_data/audio_vad\sample_0005.wav,hey deepgee,1,positive,tatthon,1
training_data/audio_vad\sample_0006.wav,hey deepgi,1,positive,tatthon,1
training_data/audio_vad\sample_0007.wav,hey deep gee,1,positive,tatthon,1
training_data/audio_vad\sample_0008.wav,เฮ้ deepgi,1,positive,tatthon,1
training_data/audio_vad\sample_0009.wav,เฮ deepgi,1,positive,tatthon,1
training_data/audio_vad\sample_0010.wav,เฮ้ deep gi,1,positive,tatthon,1
training_data/audio_vad\sample_0011.wav,เฮ้ dgi,1,positive,tatthon,1
training_data/audio_vad\sample_0012.wav,deepgi,0,hard_negative,tatthon,1
training_data/audio_vad\sample_0013.wav,deep gi,0,hard_negative,tatthon,1
training_data/audio_vad\sample_0014.wav,dgi,0,hard_negative,tatthon,1
training_data/audio_vad\sample_0015.wav,hey,0,hard_negative,tatthon,1
training_data/audio_vad\sample_0016.wav,เฮ้,0,hard_negative,tatthon,1
training_data/audio_vad\sample_0017.wav,hey deep,0,hard_negative,tatthon,1
training_data/audio_vad\sample_0018.wav,เฮ้ deep,0,hard_negative,tatthon,1
training_data/audio_vad\sample_0019.wav,hey gi,0,hard_negative,tatthon,1
training_data/audio_vad\sample_0020.wav,hey doctor,0,hard_negative,tatthon,1
training_data/audio_vad\sample_0021.wav,hey หมอ,0,hard_negative,tatthon,1
training_data/audio_vad\sample_0022.wav,hey deepgi,1,positive,tatthon,1
training_data/audio_vad\sample_0023.wav,hey deepgi,1,positive,tatthon,1
training_data/audio_vad\sample_0024.wav,hey deepgi,1,positive,tatthon,2
training_data/audio_vad\sample_0025.wav,hey deepgi,1,positive,tatthon,3
training_data/audio_vad\sample_0026.wav,hey deep gi,1,positive,tatthon,1
training_data/audio_vad\sample_0027.wav,hey deep gi,1,positive,tatthon,2
training_data/audio_vad\sample_0028.wav,hey deep gi,1,positive,tatthon,3
training_data/audio_vad\sample_0029.wav,hey dgi,1,positive,tatthon,1
training_data/audio_vad\sample_0030.wav,hey dgi,1,positive,tatthon,2
training_data/audio_vad\sample_0031.wav,hey dgi,1,positive,tatthon,3
training_data/audio_vad\sample_0032.wav,hey d gi,1,positive,tatthon,1
training_data/audio_vad\sample_0033.wav,hey d gi,1,positive,tatthon,2
training_data/audio_vad\sample_0034.wav,hey d gi,1,positive,tatthon,3
training_data/audio_vad\sample_0035.wav,hey deepgee,1,positive,tatthon,1
training_data/audio_vad\sample_0036.wav,hey deepgee,1,positive,tatthon,2
training_data/audio_vad\sample_0037.wav,hey deepgee,1,positive,tatthon,3
training_data/audio_vad\sample_0038.wav,hey deep gee,1,positive,tatthon,1
training_data/audio_vad\sample_0039.wav,hey deep gee,1,positive,tatthon,2
training_data/audio_vad\sample_0040.wav,hey deep gee,1,positive,tatthon,3
training_data/audio_vad\sample_0041.wav,เฮ้ deepgi,1,positive,tatthon,1
training_data/audio_vad\sample_0042.wav,เฮ้ deepgi,1,positive,tatthon,2
training_data/audio_vad\sample_0043.wav,เฮ้ deepgi,1,positive,tatthon,3
training_data/audio_vad\sample_0044.wav,เฮ deepgi,1,positive,tatthon,1
training_data/audio_vad\sample_0045.wav,เฮ deepgi,1,positive,tatthon,2
training_data/audio_vad\sample_0046.wav,เฮ deepgi,1,positive,tatthon,3
training_data/audio_vad\sample_0047.wav,เฮ้ deep gi,1,positive,tatthon,1
training_data/audio_vad\sample_0048.wav,เฮ้ deep gi,1,positive,tatthon,2
training_data/audio_vad\sample_0049.wav,เฮ้ deep gi,1,positive,tatthon,3
training_data/audio_vad\sample_0050.wav,เฮ้ dgi,1,positive,tatthon,1
training_data/audio_vad\sample_0051.wav,เฮ้ dgi,1,positive,tatthon,2
training_data/audio_vad\sample_0052.wav,เฮ้ dgi,1,positive,tatthon,3
training_data/audio_vad\sample_0053.wav,deepgi,0,hard_negative,tatthon,1
training_data/audio_vad\sample_0054.wav,deepgi,0,hard_negative,tatthon,2
training_data/audio_vad\sample_0055.wav,deepgi,0,hard_negative,tatthon,3
training_data/audio_vad\sample_0056.wav,deep gi,0,hard_negative,tatthon,1
training_data/audio_vad\sample_0057.wav,deep gi,0,hard_negative,tatthon,2
training_data/audio_vad\sample_0058.wav,deep gi,0,hard_negative,tatthon,3
training_data/audio_vad\sample_0059.wav,dgi,0,hard_negative,tatthon,1
training_data/audio_vad\sample_0060.wav,dgi,0,hard_negative,tatthon,2
training_data/audio_vad\sample_0061.wav,dgi,0,hard_negative,tatthon,3
training_data/audio_vad\sample_0062.wav,hey,0,hard_negative,tatthon,1
training_data/audio_vad\sample_0063.wav,hey,0,hard_negative,tatthon,2
training_data/audio_vad\sample_0064.wav,hey,0,hard_negative,tatthon,3
training_data/audio_vad\sample_0065.wav,เฮ้,0,hard_negative,tatthon,1
training_data/audio_vad\sample_0066.wav,เฮ้,0,hard_negative,tatthon,2
training_data/audio_vad\sample_0067.wav,เฮ้,0,hard_negative,tatthon,3
training_data/audio_vad\sample_0068.wav,hey deep,0,hard_negative,tatthon,1
training_data/audio_vad\sample_0069.wav,hey deep,0,hard_negative,tatthon,2
training_data/audio_vad\sample_0070.wav,hey deep,0,hard_negative,tatthon,3
training_data/audio_vad\sample_0071.wav,เฮ้ deep,0,hard_negative,tatthon,1
training_data/audio_vad\sample_0072.wav,เฮ้ deep,0,hard_negative,tatthon,2
training_data/audio_vad\sample_0073.wav,เฮ้ deep,0,hard_negative,tatthon,3
training_data/audio_vad\sample_0074.wav,hey gi,0,hard_negative,tatthon,1
training_data/audio_vad\sample_0075.wav,hey gi,0,hard_negative,tatthon,2
training_data/audio_vad\sample_0076.wav,hey gi,0,hard_negative,tatthon,3
training_data/audio_vad\sample_0077.wav,hey doctor,0,hard_negative,tatthon,1
training_data/audio_vad\sample_0078.wav,hey doctor,0,hard_negative,tatthon,2
